
0it [00:00, ?it/s]
639it [08:36,  1.33it/s, bound:0 nc:  5 ncall:1.9e+03 eff:33.9% logz-ratio=144.58+/-0.05 dlogz:0.841>0.1]
641it [08:38,  1.44it/s, bound:0 nc:  7 ncall:1.9e+03 eff:33.8% logz-ratio=144.58+/-0.05 dlogz:0.837>0.1]
643it [08:39,  1.54it/s, bound:0 nc:  5 ncall:1.9e+03 eff:33.8% logz-ratio=144.59+/-0.05 dlogz:0.833>0.1]
644it [08:40,  1.30it/s, bound:0 nc:  6 ncall:1.9e+03 eff:33.7% logz-ratio=144.59+/-0.05 dlogz:0.831>0.1]
645it [08:41,  1.17it/s, bound:0 nc:  7 ncall:1.9e+03 eff:33.6% logz-ratio=144.59+/-0.05 dlogz:0.829>0.1]
647it [08:42,  1.33it/s, bound:0 nc:  3 ncall:1.9e+03 eff:33.6% logz-ratio=144.59+/-0.04 dlogz:0.825>0.1]
651it [08:43,  1.62it/s, bound:0 nc:  5 ncall:1.9e+03 eff:33.6% logz-ratio=144.60+/-0.04 dlogz:0.817>0.1]
653it [08:44,  1.69it/s, bound:0 nc:  4 ncall:1.9e+03 eff:33.6% logz-ratio=144.60+/-0.04 dlogz:0.813>0.1]
658it [08:45,  2.10it/s, bound:0 nc:  2 ncall:1.9e+03 eff:33.8% logz-ratio=144.61+/-0.04 dlogz:0.804>0.1]
660it [08:46,  1.99it/s, bound:0 nc: 14 ncall:2.0e+03 eff:33.6% logz-ratio=144.61+/-0.04 dlogz:0.800>0.1]
661it [08:47,  1.51it/s, bound:0 nc:  6 ncall:2.0e+03 eff:33.6% logz-ratio=144.61+/-0.04 dlogz:0.798>0.1]
663it [08:48,  1.57it/s, bound:0 nc:  1 ncall:2.0e+03 eff:33.6% logz-ratio=144.62+/-0.04 dlogz:0.794>0.1]
668it [08:49,  1.97it/s, bound:0 nc:  3 ncall:2.0e+03 eff:33.7% logz-ratio=144.63+/-0.04 dlogz:0.785>0.1]
672it [08:51,  2.27it/s, bound:0 nc:  6 ncall:2.0e+03 eff:33.7% logz-ratio=144.63+/-0.04 dlogz:0.777>0.1]
674it [08:52,  2.12it/s, bound:0 nc:  3 ncall:2.0e+03 eff:33.7% logz-ratio=144.63+/-0.04 dlogz:0.774>0.1]
677it [08:53,  2.29it/s, bound:0 nc:  5 ncall:2.0e+03 eff:33.7% logz-ratio=144.64+/-0.04 dlogz:0.768>0.1]
680it [08:54,  2.36it/s, bound:0 nc:  2 ncall:2.0e+03 eff:33.8% logz-ratio=144.64+/-0.04 dlogz:0.763>0.1]
