
0it [00:00, ?it/s]
690it [08:19,  2.48it/s, bound:0 nc: 13 ncall:2.1e+03 eff:33.5% logz-ratio=-0.65+/-0.15 dlogz:165.267>0.1]
693it [08:20,  2.35it/s, bound:0 nc:  7 ncall:2.1e+03 eff:33.4% logz-ratio=0.02+/-0.15 dlogz:164.626>0.1] 
696it [08:21,  2.29it/s, bound:0 nc: 10 ncall:2.1e+03 eff:33.3% logz-ratio=0.70+/-0.14 dlogz:163.870>0.1]
698it [08:23,  1.95it/s, bound:0 nc:  9 ncall:2.1e+03 eff:33.2% logz-ratio=1.10+/-0.14 dlogz:163.469>0.1]
705it [08:24,  2.37it/s, bound:0 nc: 13 ncall:2.1e+03 eff:33.1% logz-ratio=2.55+/-0.14 dlogz:162.083>0.1]
707it [08:26,  1.95it/s, bound:0 nc:  7 ncall:2.1e+03 eff:33.1% logz-ratio=2.97+/-0.14 dlogz:161.587>0.1]
710it [08:27,  1.98it/s, bound:0 nc:  3 ncall:2.2e+03 eff:33.0% logz-ratio=3.51+/-0.14 dlogz:161.003>0.1]
713it [08:29,  1.99it/s, bound:0 nc:  5 ncall:2.2e+03 eff:32.9% logz-ratio=4.60+/-0.15 dlogz:160.213>0.1]
719it [08:30,  2.39it/s, bound:0 nc:  4 ncall:2.2e+03 eff:33.0% logz-ratio=6.32+/-0.15 dlogz:158.254>0.1]
725it [08:31,  2.75it/s, bound:0 nc:  5 ncall:2.2e+03 eff:33.0% logz-ratio=7.74+/-0.15 dlogz:156.870>0.1]
728it [08:33,  2.60it/s, bound:0 nc:  6 ncall:2.2e+03 eff:32.9% logz-ratio=8.48+/-0.15 dlogz:156.056>0.1]
731it [08:34,  2.51it/s, bound:0 nc:  7 ncall:2.2e+03 eff:32.8% logz-ratio=9.08+/-0.14 dlogz:155.424>0.1]
733it [08:35,  2.09it/s, bound:0 nc: 14 ncall:2.3e+03 eff:32.5% logz-ratio=9.47+/-0.14 dlogz:155.027>0.1]
735it [08:37,  1.81it/s, bound:0 nc:  6 ncall:2.3e+03 eff:32.5% logz-ratio=9.85+/-0.14 dlogz:154.632>0.1]
738it [08:38,  1.90it/s, bound:0 nc:  7 ncall:2.3e+03 eff:32.3% logz-ratio=10.35+/-0.14 dlogz:154.105>0.1]
