
0it [00:00, ?it/s]
586it [07:15,  2.40it/s, bound:0 nc:  7 ncall:1.6e+03 eff:37.2% logz-ratio=149.30+/-0.05 dlogz:2.798>0.1]
588it [07:16,  2.38it/s, bound:0 nc:  3 ncall:1.6e+03 eff:37.2% logz-ratio=149.30+/-0.05 dlogz:2.790>0.1]
591it [07:18,  2.21it/s, bound:0 nc: 11 ncall:1.6e+03 eff:37.0% logz-ratio=149.31+/-0.05 dlogz:2.778>0.1]
594it [07:19,  2.46it/s, bound:0 nc:  8 ncall:1.6e+03 eff:36.9% logz-ratio=149.32+/-0.05 dlogz:2.766>0.1]
597it [07:20,  2.17it/s, bound:0 nc: 12 ncall:1.6e+03 eff:36.8% logz-ratio=149.32+/-0.05 dlogz:2.753>0.1]
601it [07:22,  2.15it/s, bound:0 nc: 12 ncall:1.6e+03 eff:36.6% logz-ratio=149.33+/-0.05 dlogz:2.737>0.1]
604it [07:23,  2.38it/s, bound:0 nc:  3 ncall:1.6e+03 eff:36.7% logz-ratio=149.34+/-0.05 dlogz:2.725>0.1]
608it [07:24,  2.79it/s, bound:0 nc:  7 ncall:1.7e+03 eff:36.6% logz-ratio=149.35+/-0.05 dlogz:2.708>0.1]
610it [07:25,  2.65it/s, bound:0 nc:  1 ncall:1.7e+03 eff:36.7% logz-ratio=149.35+/-0.05 dlogz:2.700>0.1]
613it [07:26,  2.83it/s, bound:0 nc:  8 ncall:1.7e+03 eff:36.7% logz-ratio=149.36+/-0.05 dlogz:2.688>0.1]
614it [07:27,  1.92it/s, bound:0 nc:  7 ncall:1.7e+03 eff:36.6% logz-ratio=149.36+/-0.05 dlogz:2.684>0.1]
615it [07:28,  1.59it/s, bound:0 nc:  7 ncall:1.7e+03 eff:36.5% logz-ratio=149.37+/-0.05 dlogz:2.680>0.1]
619it [07:28,  1.98it/s, bound:0 nc:  6 ncall:1.7e+03 eff:36.5% logz-ratio=149.38+/-0.05 dlogz:2.663>0.1]
621it [07:29,  2.07it/s, bound:0 nc:  3 ncall:1.7e+03 eff:36.5% logz-ratio=149.38+/-0.05 dlogz:2.655>0.1]
623it [07:30,  2.12it/s, bound:0 nc:  2 ncall:1.7e+03 eff:36.4% logz-ratio=149.39+/-0.05 dlogz:2.647>0.1]
629it [07:32,  2.40it/s, bound:0 nc:  9 ncall:1.7e+03 eff:36.5% logz-ratio=149.40+/-0.05 dlogz:2.622>0.1]
634it [07:33,  2.92it/s, bound:0 nc:  2 ncall:1.7e+03 eff:36.6% logz-ratio=149.41+/-0.05 dlogz:2.602>0.1]
635it [07:35,  1.28it/s, bound:0 nc: 21 ncall:1.8e+03 eff:36.2% logz-ratio=149.41+/-0.05 dlogz:2.598>0.1]
636it [07:35,  1.22it/s, bound:0 nc:  3 ncall:1.8e+03 eff:36.2% logz-ratio=149.42+/-0.05 dlogz:2.594>0.1]
639it [07:36,  1.49it/s, bound:0 nc:  7 ncall:1.8e+03 eff:36.1% logz-ratio=149.42+/-0.05 dlogz:2.582>0.1]
